package,manager,condition,rep,time_s
react,npm,native,1,0.7957
react,npm,native,2,0.7631
react,npm,native,3,0.7381
react,npm,native,4,0.7225
react,npm,native,5,0.7076
react,npm,unified_no_sec,1,2.6453
react,npm,unified_no_sec,2,2.592
react,npm,unified_no_sec,3,2.6138
react,npm,unified_no_sec,4,2.6284
react,npm,unified_no_sec,5,2.6281
react,npm,scan_cold,1,8.7869
react,npm,scan_cold,2,8.5572
react,npm,scan_cold,3,8.463
react,npm,scan_cold,4,8.3985
react,npm,scan_cold,5,8.8655
react,npm,scan_warm,1,6.3393
react,npm,scan_warm,2,6.4385
react,npm,scan_warm,3,6.563
react,npm,scan_warm,4,6.2836
react,npm,scan_warm,5,6.3219
express,npm,native,1,1.006
express,npm,native,2,0.9995
express,npm,native,3,0.9828
express,npm,native,4,1.1627
express,npm,native,5,0.9768
express,npm,unified_no_sec,1,3.0665
express,npm,unified_no_sec,2,3.0977
express,npm,unified_no_sec,3,3.0722
express,npm,unified_no_sec,4,3.0385
express,npm,unified_no_sec,5,2.9981
express,npm,scan_cold,1,9.7427
express,npm,scan_cold,2,9.1127
express,npm,scan_cold,3,9.503
express,npm,scan_cold,4,9.2599
express,npm,scan_cold,5,11.9999
express,npm,scan_warm,1,7.114
express,npm,scan_warm,2,7.239
express,npm,scan_warm,3,7.3498
express,npm,scan_warm,4,7.2463
express,npm,scan_warm,5,7.138
requests,pip3,native,1,1.5157
requests,pip3,native,2,1.5604
requests,pip3,native,3,1.4521
requests,pip3,native,4,1.4741
requests,pip3,native,5,1.4824
requests,pip3,unified_no_sec,1,2.7153
requests,pip3,unified_no_sec,2,2.5598
requests,pip3,unified_no_sec,3,2.567
requests,pip3,unified_no_sec,4,2.5518
requests,pip3,unified_no_sec,5,2.7236
requests,pip3,scan_cold,1,6.4177
requests,pip3,scan_cold,2,5.964
requests,pip3,scan_cold,3,6.5965
requests,pip3,scan_cold,4,6.2835
requests,pip3,scan_cold,5,6.6254
requests,pip3,scan_warm,1,4.0347
requests,pip3,scan_warm,2,4.1221
requests,pip3,scan_warm,3,4.903
requests,pip3,scan_warm,4,4.0474
requests,pip3,scan_warm,5,4.1355
click,pip3,native,1,1.517
click,pip3,native,2,1.0522
click,pip3,native,3,1.4019
click,pip3,native,4,1.2364
click,pip3,native,5,1.1036
click,pip3,unified_no_sec,1,2.3743
click,pip3,unified_no_sec,2,2.3273
click,pip3,unified_no_sec,3,2.2369
click,pip3,unified_no_sec,4,2.2678
click,pip3,unified_no_sec,5,2.1712
click,pip3,scan_cold,1,6.4744
click,pip3,scan_cold,2,5.8844
click,pip3,scan_cold,3,6.1282
click,pip3,scan_cold,4,5.8666
click,pip3,scan_cold,5,6.144
click,pip3,scan_warm,1,3.8648
click,pip3,scan_warm,2,3.6877
click,pip3,scan_warm,3,3.7116
click,pip3,scan_warm,4,3.7641
click,pip3,scan_warm,5,3.6948
